Les 387 ventes d'appartements d' Ermont (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
207 999 €;46 m²;2;2011 / 2020;Oui;-;-;0;Non;Oui
246 250 €;73 m²;3;-;Oui;-;-;3;Non;Oui
380 000 €;81 m²;4;2011 / 2020;Oui;B;C;5;Non;Oui
191 500 €;68 m²;3;1970 / 1980;Oui;C;D;5;Non;-
140 000 €;31 m²;1;-;Non;D;C;1;Non;Oui
273 000 €;59 m²;3;2011 / 2020;Oui;-;-;2;Oui;Oui
134 000 €;29 m²;1;1992 / 2000;Oui;C;D;0;Oui;-
170 000 €;68 m²;4;1948 / 1969;Oui;F;G;1;Oui;Oui
240 000 €;77 m²;4;-;Oui;-;-;2;Non;-
131 400 €;57 m²;3;-;Oui;E;C;0;Non;Non
272 000 €;64 m²;3;2011 / 2020;Oui;-;-;1;Oui;Oui
194 000 €;86 m²;4;1981 / 1991;Oui;D;F;4;Oui;Non
186 000 €;104 m²;5;1970 / 1980;Oui;C;D;1;Non;Oui
393 135 €;104 m²;4;2011 / 2020;Oui;B;C;2;Non;Oui
130 000 €;33 m²;1;1981 / 1991;Oui;E;C;4;Non;Non
147 200 €;67 m²;3;1981 / 1991;Oui;-;-;0;Non;-
221 750 €;66 m²;3;1948 / 1969;Oui;D;E;4;Oui;Non
222 000 €;84 m²;4;1970 / 1980;Oui;C;D;1;Oui;Non
245 000 €;63 m²;3;2011 / 2020;Oui;B;C;0;Non;Oui
